序号	汉字	级别	GB/T 13000	GB 18030
1	一	1	4E00	D2BB
2	乙	1	4E59	D2D2
3	二	1	4E8C	B6FE
4	十	1	5341	CAAE
5	丁	1	4E01	B6A1
6	厂	1	5382	B3A7
7	七	1	4E03	C6DF
8	卜	1	535C	B2B7
9	八	1	516B	B0CB
10	人	1	4EBA	C8CB
11	入	1	5165	C8EB
12	儿	1	513F	B6F9
13	匕	1	5315	D8B0
14	几	1	51E0	BCB8
15	九	1	4E5D	BEC5
16	刁	1	5201	B5F3
17	了	1	4E86	C1CB
18	刀	1	5200	B5B6
19	力	1	529B	C1A6
20	乃	1	4E43	C4CB
21	又	1	53C8	D3D6
22	三	1	4E09	C8FD
23	干	1	5E72	B8C9
24	于	1	4E8E	D3DA
25	亏	1	4E8F	BFF7
26	工	1	5DE5	B9A4
27	土	1	571F	CDC1
28	士	1	58EB	CABF
29	才	1	624D	B2C5
30	下	1	4E0B	CFC2
31	寸	1	5BF8	B4E7
32	大	1	5927	B4F3
33	丈	1	4E08	D5C9
34	与	1	4E0E	D3EB
35	万	1	4E07	CDF2
36	上	1	4E0A	C9CF
37	小	1	5C0F	D0A1
38	口	1	53E3	BFDA
39	山	1	5C71	C9BD
40	巾	1	5DFE	BDED
41	千	1	5343	C7A7
42	乞	1	4E5E	C6F2
43	川	1	5DDD	B4A8
44	亿	1	4EBF	D2DA
45	个	1	4E2A	B8F6
46	夕	1	5915	CFA6
47	久	1	4E45	BEC3
48	么	1	4E48	C3B4
49	勺	1	52FA	C9D7
50	凡	1	51E1	B7B2
51	丸	1	4E38	CDE8
52	及	1	53CA	BCB0
53	广	1	5E7F	B9E3
54	亡	1	4EA1	CDF6
55	门	1	95E8	C3C5
56	丫	1	4E2B	D1BE
57	义	1	4E49	D2E5
58	之	1	4E4B	D6AE
59	尸	1	5C38	CAAC
60	己	1	5DF1	BCBA
61	已	1	5DF2	D2D1
62	巳	1	5DF3	CBC8
63	弓	1	5F13	B9AD
64	子	1	5B50	D7D3
65	卫	1	536B	CEC0
66	也	1	4E5F	D2B2
67	女	1	5973	C5AE
68	刃	1	5203	C8D0
69	飞	1	98DE	B7C9
70	习	1	4E60	CFB0
71	叉	1	53C9	B2E6
72	马	1	9A6C	C2ED
73	乡	1	4E61	CFE7
74	丰	1	4E30	B7E1
75	王	1	738B	CDF5
76	开	1	5F00	BFAA
77	井	1	4E95	BEAE
78	天	1	5929	CCEC
79	夫	1	592B	B7F2
80	元	1	5143	D4AA
81	无	1	65E0	CEDE
82	云	1	4E91	D4C6
83	专	1	4E13	D7A8
84	丐	1	4E10	D8A4
85	扎	1	624E	D4FA
86	艺	1	827A	D2D5
87	木	1	6728	C4BE
88	五	1	4E94	CEE5
89	支	1	652F	D6A7
90	厅	1	5385	CCFC
91	不	1	4E0D	B2BB
92	犬	1	72AC	C8AE
93	太	1	592A	CCAB
94	区	1	533A	C7F8
95	历	1	5386	C0FA
96	歹	1	6B79	B4F5
97	友	1	53CB	D3D1
98	尤	1	5C24	D3C8
99	匹	1	5339	C6A5
100	车	1	8F66	B3B5
101	巨	1	5DE8	BEDE
102	牙	1	7259	D1C0
103	屯	1	5C6F	CDCD
104	戈	1	6208	B8EA
105	比	1	6BD4	B1C8
106	互	1	4E92	BBA5
107	切	1	5207	C7D0
108	瓦	1	74E6	CDDF
109	止	1	6B62	D6B9
110	少	1	5C11	C9D9
111	曰	1	66F0	D4BB
112	日	1	65E5	C8D5
113	中	1	4E2D	D6D0
114	贝	1	8D1D	B1B4
115	冈	1	5188	B8D4
116	内	1	5185	C4DA
117	水	1	6C34	CBAE
118	见	1	89C1	BCFB
119	午	1	5348	CEE7
120	牛	1	725B	C5A3
121	手	1	624B	CAD6
122	气	1	6C14	C6F8
123	毛	1	6BDB	C3AB
124	壬	1	58EC	C8C9
125	升	1	5347	C9FD
126	夭	1	592D	D8B2
127	长	1	957F	B3A4
128	仁	1	4EC1	C8CA
